	HC1	HC2	HC3	HC4	C1	C2	C3	C4	C5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
hsa_circ_0069226	430.7405147	135.5151269	75.47169811	809.3889114	129.2713405	0	301.1594639	61.07802718	0	562.7599706	427.8646878	249.3627397	284.3871457	268.6338933	756.8244689	545.2562704	77.02973348	328.929335	138.6898433
hsa_circ_0002178	215.3702574	372.6665989	188.6792453	556.4548766	86.1808937	0	0	61.07802718	189.7413193	244.6782481	374.3816018	193.9487975	236.9892881	351.2904759	521.9479096	0	231.0892004	164.4646675	323.6096343
hsa_circ_0007554	430.7405147	474.3029441	264.1509434	354.1076487	0	258.5482516	0	244.3121087	0	440.4208466	588.3139457	387.897595	308.0860745	392.6187672	495.8505141	605.8403005	385.1486674	274.1077792	924.5989552
novel_circ_0001428	107.6851287	271.0302538	452.8301887	556.4548766	215.4522342	129.2741258	0	0	0	367.0173722	187.1908009	277.0697107	213.2903593	454.6112041	495.8505141	424.0882103	192.5743337	164.4646675	323.6096343
novel_circ_0014088	574.3206863	1185.75736	490.5660377	354.1076487	215.4522342	193.9111887	451.7391959	0	0	905.309518	481.3477738	526.4324504	924.2582235	764.5733887	1565.843729	545.2562704	577.7230011	328.929335	184.919791
hsa_circ_0084727	71.79008579	542.0605075	264.1509434	151.7604209	215.4522342	0	0	0	0	636.1634451	133.7077149	387.897595	142.1935729	206.6414564	130.4869774	302.9201502	385.1486674	0	92.45989552
hsa_circ_0012634	143.5801716	135.5151269	264.1509434	151.7604209	86.1808937	0	150.579732	0	0	269.1460729	320.8985158	387.897595	118.494644	165.3131651	182.6817684	181.7520901	77.02973348	109.6431117	231.1497388
hsa_circ_0027702	215.3702574	135.5151269	528.3018868	0	129.2713405	0	225.869598	0	0	146.8069489	213.9323439	221.6557686	142.1935729	640.5885149	182.6817684	484.6722404	346.6338006	712.6802259	231.1497388
novel_circ_0005214	179.4752145	779.2119795	113.2075472	151.7604209	0	193.9111887	225.869598	0	0	440.4208466	267.4154299	193.9487975	782.0646507	289.298039	313.1687458	848.1764207	0	274.1077792	184.919791
hsa_circ_0069396	287.1603432	643.6968527	603.7735849	151.7604209	0	0	0	0	252.9884258	195.7425985	427.8646878	221.6557686	71.09678643	227.305602	130.4869774	605.8403005	154.059467	164.4646675	138.6898433
